Click Time,Install Time,Agency/PMD (af_prt),Media Source (pid),Campaign (c),Site Id (af_siteid),Cost Per Install (af_cpi),Country Code,City,IP,WIFI,Language,Appsflyer Device Id,Customer User Id,Android Id,IMEI,MAC,Advertising Id,Device Type,OS Version,SDK Version,App Version,Operator,Carrier,Sub Param 1 (af_sub1),Sub Param 2 (af_sub2),Sub Param 3 (af_sub3),Sub Param 4 (af_sub4),Sub Param 5 (af_sub5),Click URL,Contributor 1,Contributor 2,Contributor 3
2015-09-05 19:23:16,2015-09-12 14:55:37,,Facebook Ads,Android app installs - mkakpht,,,IN,Poona,117.229.62.136,No,English,1442069478416-2669262098591965121,,b5ee8246e721dcdf,911400250201621,,de667e4c-64eb-4cc8-846c-03eb4f1dba05,google-Sparkle V,22,v2.3.1.18,4.1.3.2,Cellone Maharashtra,CellOne,,,,,,,,,
2015-09-05 12:56:31,2015-09-12 14:40:41,,Facebook Ads,Android app installs - mkakpht,,,IN,Trivandrum,117.207.233.127,Yes,English,1441457826553-1177119233717060003,,3fbfbe7487c13843,355370064703091,,852bd407-66ef-4bd2-bfd7-5fb86724eaf8,samsung-SM-G313HU,19,v2.3.1.18,4.1.3.2,BSNL Mobile,CellOne,,,,,,,,,
2015-09-05 03:19:50,2015-09-12 09:02:04,,Facebook Ads,Android app installs - mkakpht,,,IN,Bangalore,117.204.121.165,Yes,English,1441423359857-6650246909062149107,,5f3a53d67efe5251,357537063949887,,0f07e046-563e-4c60-802f-cac4c7fc2dd8,samsung-GT-I9301I,19,v2.3.1.18,4.1.3.2,BSNL MOBILE,CellOne,,,,,,,,,
2015-09-03 02:22:36,2015-09-11 10:53:00,,Facebook Ads,Knit - App Installs,,,IN,Delhi,1.38.4.8,No,English,1441246992317-33862399560287638,,e52030026bc98d51,356260051356103,,b8e7dc46-2403-453f-814a-55568a22188f,samsung-GT-I9300,18,v2.3.1.18,4.1.3.2,Vodafone IN,VODAFONE IN,,,,,,,,,
2015-09-10 08:49:59,2015-09-10 08:50:21,,App_Invite,app_invite_-_P2T,Whatsapp,,IN,None,27.5.242.212,Yes,English,1441875011162-6346440378527341225,,bacd99bf59199f2c,357478060410849,,cfb4132b-6efa-4b09-a5a5-3896f351b3e2,google-Nexus 5,22,v2.3.1.18,4.1.3.2,airtel,airtel,,,,,,http://go.onelink.me/trumplab.textslate?pid=App_Invite&c=app_invite_-_P2T&af_siteid=Whatsapp,,,
2015-08-31 01:31:48,2015-09-09 08:36:14,,Facebook Ads,Knit - App Installs,,,IN,Mumbai,1.39.15.86,No,English,1440984725906-5933256345315327756,,bc89f5ecb225bbc5,356759049713796,,32aef5c7-85ff-43a4-9245-6a30aa99f0f9,OPPO-N1,17,v2.3.1.18,4.1.3.2,Vodafone IN,Vodafone IN,,,,,,,,,
2015-09-04 07:01:04,2015-09-08 19:32:39,,Facebook Ads,Knit - App Installs,,,IN,Lucknow,1.38.22.56,No,English,1441351356996-8070464188531313839,,65ead3e16e56c40,359451061939270,,5f7a42a3-b2d6-4a6c-831e-b91d77af3177,samsung-SM-G360H,19,v2.3.1.18,4.1.3.2,BSNL Mobile,CellOne,,,,,,,,,
2015-09-08 18:44:44,2015-09-08 18:45:09,,Blog,Blog_App_Install,,,IN,Suri,106.194.20.145,No,English,1441737898040-7035874667692049388,,bacd99bf59199f2c,357478060410849,,cfb4132b-6efa-4b09-a5a5-3896f351b3e2,google-Nexus 5,22,v2.3.1.18,4.1.3.2,airtel,airtel,,,,,,http://go.onelink.me/trumplab.textslate?pid=Blog&c=Blog_App_Install,,,
2015-09-08 05:48:35,2015-09-08 05:49:56,,Facebook Ads,Android app installs - mkakpht,,,IN,Kolkata,101.222.177.162,No,English,1441691552710-8585080439971610186,,e36f6bc037937f77,356555051564451,,,samsung-GT-N7100,19,v2.3.1.18,4.1.3.2,AIRCEL,AIRCEL,,,,,,,,,
2015-09-04 15:46:54,2015-09-07 13:12:46,,Facebook Ads,Android app installs - mkakpht,,,IN,Mumbai,115.248.19.129,Yes,English,1441381638480-151161291548426074,,2e42c1db9ded9a54,864587023538045,,a66c590e-30b3-41b6-b5e6-249a52176b61,oneplus-A0001,21,v2.3.1.18,4.1.3.2,Vodafone IN,Vodafone IN,,,,,,,,,
2015-08-31 11:59:15,2015-09-07 06:57:00,,Facebook Ads,Knit - App Installs,,,IN,New Delhi,120.59.110.49,Yes,English,1441022436556-8981843670312273617,,ad63d90ce9695f50,355306067421513,,505a5dc1-fd5a-4122-a3c0-fe4ef2b51fc0,samsung-SM-N910G,21,v2.3.1.18,4.1.3.2,,,,,,,,,,,
2015-09-06 00:26:39,2015-09-07 00:03:52,,Facebook Ads,Android app installs - mkakpht,,,IN,Coimbatore,117.197.206.61,Yes,English,1441499250373-4221030307371272477,,aebe37a76812ebf7,357926061190562,,ee817cfd-b2a8-4098-b038-dbea3f4e17dd,samsung-SM-G355H,19,v2.3.1.18,4.1.3.2,Vodafone IN,Vodafone IN,,,,,,,,,
