Teacher Username,SUM(Class),MINIMUM(Class Created Date),MAXIMUM(Class Created Date),SUM(SUM(Subscriber)),SUM(SUM(Message)),MAXIMUM(MAXIMUM(Sent Date))
100401265612599013375,1,2015-09-04,2015-09-04,1,1,2015-09-04
100405448315736282738,1,2015-08-06,2015-08-06,1,2,2015-08-14
100428701039064774523,1,2015-08-27,2015-08-27,2,2,2015-08-27
1004802559559681,1,2015-09-10,2015-09-10,0,0,
100538481185553218570,1,2015-09-04,2015-09-04,0,0,
100608503138757435150,1,2015-08-30,2015-08-30,0,0,
100919710201372756120,1,2015-08-12,2015-08-12,0,0,
101045074283960198643,2,2015-09-01,2015-09-01,37,59,2015-09-03
101115697159950608264,1,2015-09-03,2015-09-03,1,1,2015-09-03
101221248093737964373,1,2015-08-12,2015-08-12,0,0,
101268262111633797428,1,2015-08-05,2015-08-05,0,0,
101309722939440650930,1,2015-09-06,2015-09-06,0,0,
101433957137500094398,3,2015-09-01,2015-09-07,0,0,
101526015465459455844,1,2015-09-05,2015-09-05,0,0,
101528116078511098440,1,2015-09-09,2015-09-09,3,0,
10153217240009092,1,2015-08-22,2015-08-22,5,1,2015-08-22
10153500042147224,1,2015-08-09,2015-08-09,2,2,2015-09-11
10153600725821477,2,2015-08-28,2015-08-28,3,7,2015-09-04
10153614859466202,1,2015-09-03,2015-09-03,0,0,
10155893067305109,1,2015-08-19,2015-08-19,33,1,2015-09-01
1015932321774461,1,2015-08-29,2015-08-29,0,0,
1017754631619891,1,2015-09-03,2015-09-03,0,0,
101821510171146,3,2015-08-05,2015-08-05,4,24,2015-08-05
101838810337279538680,1,2015-09-01,2015-09-01,0,0,
101852167352559086053,1,2015-08-23,2015-08-23,0,0,
10200906430980680,1,2015-09-07,2015-09-07,19,3,2015-09-10
10203257890808259,1,2015-08-29,2015-08-29,0,0,
10203667719933344,1,2015-09-05,2015-09-05,0,0,
10203870032585782,1,2015-09-03,2015-09-03,0,0,
10204539882568227,1,2015-08-29,2015-08-29,0,0,
10204704887197959,1,2015-08-31,2015-08-31,0,0,
10204774441269724,1,2015-08-29,2015-08-29,0,0,
10204860027969262,1,2015-08-30,2015-08-30,0,0,
10205025124249827,1,2015-08-12,2015-08-12,0,0,
10205164633937182,1,2015-09-05,2015-09-05,0,0,
10206428812551963,1,2015-08-26,2015-08-26,1,1,2015-08-26
10206460688734288,1,2015-08-29,2015-08-29,0,0,
10206729179086687,1,2015-09-04,2015-09-04,1,0,
10207313516859621,1,2015-08-22,2015-08-22,0,0,
10207666924057718,1,2015-08-12,2015-08-12,0,0,
10207714625567413,1,2015-08-29,2015-08-29,0,0,
10207955716473561,1,2015-08-30,2015-08-30,0,0,
102134705882217738938,2,2015-08-30,2015-08-30,1,1,2015-08-30
102327316881847340328,2,2015-09-03,2015-09-03,0,0,
102339810388431387003,1,2015-09-11,2015-09-11,0,0,
102345448626475978804,1,2015-09-04,2015-09-04,0,0,
102430820497077170535,3,2015-08-10,2015-08-23,0,0,
102499539911788721299,1,2015-08-28,2015-08-28,0,0,
102501157706385935784,2,2015-09-02,2015-09-02,0,0,
1026311740742086,1,2015-09-04,2015-09-04,0,0,
102651657943851967527,2,2015-08-05,2015-08-05,2,6,2015-08-05
102903067023023917506,4,2015-09-07,2015-09-07,0,0,
103025482465678353629,1,2015-08-30,2015-08-30,0,0,
103112274772237772576,1,2015-08-30,2015-08-30,0,0,
103411002975591243631,1,2015-08-10,2015-08-10,0,0,
1034984446514843,1,2015-09-07,2015-09-07,0,0,
103600037454281648435,1,2015-08-05,2015-08-05,3,4,2015-08-05
103709416446347850415,4,2015-08-23,2015-08-27,2,2,2015-08-31
103822107823431444290,1,2015-09-04,2015-09-04,0,0,
103834202839374593574,2,2015-09-05,2015-09-05,1,3,2015-09-05
1040263859347245,1,2015-09-03,2015-09-03,0,0,
104046537171340630450,1,2015-09-04,2015-09-04,0,0,
104061423193009905014,1,2015-09-03,2015-09-03,0,0,
104232145766017790300,1,2015-09-01,2015-09-01,0,0,
104258889188354582670,1,2015-09-09,2015-09-09,14,1,2015-09-11
104322818367350282896,1,2015-09-01,2015-09-01,0,0,
104455985500490393639,1,2015-08-05,2015-08-05,0,0,
104474789993324733707,1,2015-09-03,2015-09-03,0,0,
104569038443458551470,1,2015-09-04,2015-09-04,0,0,
104685601997074748587,3,2015-08-05,2015-08-20,6,17,2015-09-04
1047026591987736,2,2015-08-29,2015-08-29,0,0,
1048148275210241,1,2015-08-19,2015-08-19,1,1,2015-08-19
104846258177886367189,1,2015-09-04,2015-09-04,0,0,
104854893602756579964,1,2015-09-02,2015-09-02,0,0,
1048598578514223,1,2015-08-31,2015-08-31,0,0,
104873667291012901230,2,2015-09-04,2015-09-04,0,0,
104890554964640828330,1,2015-08-12,2015-08-12,2,2,2015-08-13
104989157349160141361,1,2015-09-03,2015-09-03,0,0,
105102158840183718047,1,2015-08-31,2015-08-31,1,0,
1055047191207191,2,2015-09-05,2015-09-05,1,3,2015-09-06
105554614914747880348,2,2015-09-04,2015-09-04,4,7,2015-09-04
1058444737508003,1,2015-08-29,2015-08-29,0,0,
105849004764700784131,1,2015-09-04,2015-09-04,0,0,
