Class Code,SUM(Message),MINIMUM(Sent Date),MAXIMUM(Sent Date)
ABD6731,1,2015/09/13,2015/09/13
ABH0131,1,2015/08/04,2015/08/04
ABH1245,2,2015/06/18,2015/06/18
ABH4304,1,2015/04/25,2015/04/25
ABS4959,1,2015/09/13,2015/09/13
ACB1781,4,2015/06/18,2015/06/18
ACB7163,1,2015/06/30,2015/06/30
ADA7168,4,2015/07/24,2015/07/24
ADI2898,3,2015/09/05,2015/09/05
ADI3180,12,2015/08/27,2015/08/27
ADI4866,3,2015/04/24,2015/04/24
ADI7369,4,2015/09/05,2015/09/05
ADI9373,4,2015/08/27,2015/08/27
ADI9462,2,2015/08/27,2015/08/27
AFR4973,1,2015/09/10,2015/09/10
AGA8531,1,2015/06/21,2015/06/21
AGN6331,1,2015/04/20,2015/04/20
AJA1323,1,2015/09/01,2015/09/01
AJA2383,2,2015/08/27,2015/08/27
AJA4601,5,2015/07/22,2015/07/22
AJA5157,1,2015/08/27,2015/08/27
AJA5366,1,2015/08/29,2015/08/29
AKH6149,9,2015/07/12,2015/07/12
AKJ0141,3,2015/07/22,2015/07/22
AKJ0251,2,2015/07/17,2015/07/17
AKJ1330,1,2015/04/22,2015/04/22
AKJ1491,9,2015/09/11,2015/09/11
AKJ1495,2,2015/06/24,2015/06/24
AKJ2297,12,2015/09/11,2015/09/11
AKJ2517,3,2015/07/17,2015/07/17
AKJ2647,9,2015/09/11,2015/09/11
AKJ4097,6,2015/06/20,2015/06/20
AKJ4456,3,2015/07/17,2015/07/17
AKJ4722,6,2015/09/11,2015/09/11
AKJ4820,6,2015/09/11,2015/09/11
AKJ6933,4,2015/04/22,2015/04/22
AKJ8075,7,2015/06/20,2015/06/20
AKJ8516,7,2015/09/11,2015/09/11
AKJ8677,6,2015/06/20,2015/06/20
AKJ8897,6,2015/06/20,2015/06/20
AKJ9071,4,2015/04/22,2015/04/22
AKJ9214,2,2015/07/17,2015/07/17
AKJ9687,4,2015/04/22,2015/04/22
AKJ9754,4,2015/04/22,2015/04/22
AKS4485,1,2015/08/02,2015/08/02
ALO0114,1,2015/04/27,2015/04/27
ALP1620,1,2015/07/27,2015/07/27
AMA2780,1,2015/09/08,2015/09/08
AMA7611,1,2015/07/21,2015/07/21
AMI4521,4,2015/03/23,2015/03/23
AMI5859,2,2015/09/12,2015/09/12
AMI7236,1,2015/09/05,2015/09/05
ANI7255,2,2015/05/13,2015/05/13
ANI9732,1,2015/09/01,2015/09/01
ANK0070,1,2015/08/31,2015/08/31
ANK0861,3,2015/07/27,2015/07/27
ANK2182,1,2015/08/31,2015/08/31
ANK7042,1,2015/09/02,2015/09/02
ANK8389,4,2015/07/27,2015/07/27
ANK9325,1,2015/06/13,2015/06/13
ANS9226,83,2015/09/04,2015/09/04
ANT8289,1,2015/09/01,2015/09/01
ANT8944,1,2015/09/01,2015/09/01
ANU5555,1,2015/08/13,2015/08/13
ANZ0948,2,2015/04/26,2015/04/26
APP9369,1,2015/07/10,2015/07/10
ARI3593,1,2015/09/01,2015/09/01
ARI7974,1,2015/09/01,2015/09/01
ARJ8401,2,2015/09/05,2015/09/05
ARM0076,1,2015/08/31,2015/08/31
ARU0279,3,2015/09/03,2015/09/03
ARU0308,1,2015/09/03,2015/09/03
ARU2129,1,2015/09/03,2015/09/03
ARU2489,1,2015/09/03,2015/09/03
ARU2843,2,2015/05/10,2015/05/10
ARU4604,1,2015/09/03,2015/09/03
ARU6930,2,2015/09/03,2015/09/03
ARU9362,1,2015/09/03,2015/09/03
ARU9767,1,2015/09/03,2015/09/03
ASH0139,4,2015/08/06,2015/08/06
ASH1575,1,2015/08/17,2015/08/17
ASH3976,6,2015/08/06,2015/08/06
ASH4723,1,2015/09/01,2015/09/01
ASH6796,3,2015/08/06,2015/08/06
ASH9469,10,2015/08/06,2015/08/06
ASH9471,12,2015/08/06,2015/08/06
ASM1781,1,2015/08/27,2015/08/27
ASO8303,59,2015/09/04,2015/09/04
AVA3772,1,2015/07/20,2015/07/20
AVE9947,2,2015/09/08,2015/09/08
AVI4007,1,2015/07/28,2015/07/28
AVN3233,3,2015/09/03,2015/09/03
AYU0908,6,2015/09/08,2015/09/08
BAJ1422,13,2015/09/09,2015/09/09
BAJ2125,8,2015/09/09,2015/09/09
BAJ3635,12,2015/09/09,2015/09/09
BAJ9602,10,2015/09/09,2015/09/09
BET4487,4,2015/09/04,2015/09/04
BET5258,28,2015/09/09,2015/09/09
BHA0313,1,2015/06/19,2015/06/19
BIN2558,1,2015/03/24,2015/03/24
BIS3234,1,2015/06/30,2015/06/30
BIS3553,5,2015/08/17,2015/08/17
BOR1524,5,2015/08/31,2015/08/31
CHA0298,5,2015/08/12,2015/08/12
CHA2827,1,2015/07/15,2015/07/15
CHA3266,4,2015/07/01,2015/07/01
CHA5677,1,2015/09/11,2015/09/11
CHA8933,1,2015/08/11,2015/08/11
CIC0563,1,2015/08/26,2015/08/26
CLA0027,7,2015/09/07,2015/09/07
CLA0118,1,2015/05/29,2015/05/29
CLA1000,1,2015/09/05,2015/09/05
CLA1133,32,2015/09/13,2015/09/13
CLA1223,5,2015/08/13,2015/08/13
CLA1413,4,2015/08/08,2015/08/08
CLA1856,2,2015/06/27,2015/06/27
CLA1884,74,2015/09/13,2015/09/13
CLA2386,3,2015/06/27,2015/06/27
CLA2891,102,2015/09/13,2015/09/13
CLA4662,3,2015/07/17,2015/07/17
CLA5837,6,2015/08/05,2015/08/05
CLA6279,3,2015/07/17,2015/07/17
CLA7265,6,2015/09/13,2015/09/13
CLA7627,6,2015/08/14,2015/08/14
CLA7894,71,2015/09/13,2015/09/13
CLA7985,3,2015/07/17,2015/07/17
CLA8911,1,2015/07/21,2015/07/21
CLA9198,75,2015/09/13,2015/09/13
CLA9611,3,2015/07/17,2015/07/17
COM3712,1,2015/07/11,2015/07/11
DAR6862,1,2015/09/08,2015/09/08
DAY0334,1,2015/09/05,2015/09/05
DEE4444,4,2015/08/10,2015/08/10
DEM7135,5,2015/06/17,2015/06/17
DEN0115,4,2015/07/23,2015/07/23
DEV5422,1,2015/07/16,2015/07/16
DHA2062,1,2015/07/17,2015/07/17
DHA2542,2,2015/07/17,2015/07/17
DHA2580,4,2015/07/30,2015/07/30
DHA2843,1,2015/07/17,2015/07/17
DHA3047,2,2015/07/17,2015/07/17
DHA3951,15,2015/08/06,2015/08/06
DHA4166,2,2015/07/16,2015/07/16
DHA4838,12,2015/09/05,2015/09/05
DHA5321,9,2015/07/13,2015/07/13
DHA6472,20,2015/07/13,2015/07/13
DHA7266,1,2015/08/27,2015/08/27
DHA7591,3,2015/08/06,2015/08/06
DHA7739,1,2015/08/26,2015/08/26
DHA8195,1,2015/09/01,2015/09/01
DHA8349,11,2015/08/06,2015/08/06
DHA8619,4,2015/08/06,2015/08/06
DHA8821,1,2015/07/17,2015/07/17
DHA9758,2,2015/07/17,2015/07/17
DIG9358,5,2015/09/01,2015/09/01
DIM3415,14,2015/08/19,2015/08/19
DIM9494,1,2015/08/20,2015/08/20
DIS8627,1,2015/08/10,2015/08/10
DIV5686,5,2015/06/24,2015/06/24
DRH7748,5,2015/09/06,2015/09/06
ERT6403,3,2015/09/11,2015/09/11
EUR4042,5,2015/08/19,2015/08/19
FAA4232,10,2015/08/12,2015/08/12
FAA5175,5,2015/07/12,2015/07/12
FAR4782,1,2015/07/28,2015/07/28
FAT7534,1,2015/08/17,2015/08/17
FAT9969,2,2015/08/02,2015/08/02
FEL6108,3,2015/08/31,2015/08/31
FER4531,2,2015/08/22,2015/08/22
FER9413,15,2015/08/22,2015/08/22
FIR9767,3,2015/08/20,2015/08/20
FLO8341,1,2015/09/08,2015/09/08
GAB8184,1,2015/07/23,2015/07/23
GAI2127,4,2015/06/26,2015/06/26
GAR5354,1,2015/09/12,2015/09/12
GAU3027,1,2015/08/06,2015/08/06
GEE3999,2,2015/09/10,2015/09/10
GEN3007,67,2015/08/29,2015/08/29
GER6734,1,2015/09/08,2015/09/08
GHO2734,2,2015/07/20,2015/07/20
GHO7845,2,2015/07/25,2015/07/25
GOS3520,1,2015/08/01,2015/08/01
GOS3962,1,2015/07/24,2015/07/24
GOS6217,12,2015/09/11,2015/09/11
GRO4113,2,2015/08/25,2015/08/25
GUL0054,4,2015/09/09,2015/09/09
GUL5310,3,2015/09/06,2015/09/06
GUR7844,1,2015/04/03,2015/04/03
HAB2709,1,2015/09/12,2015/09/12
HAF8961,5,2015/06/04,2015/06/04
HAP0476,2,2015/09/09,2015/09/09
HAP2838,3,2015/09/09,2015/09/09
HAP4801,2,2015/09/09,2015/09/09
HAP4899,3,2015/09/09,2015/09/09
HAP9530,2,2015/09/09,2015/09/09
HAR0120,4,2015/09/05,2015/09/05
HAR0346,3,2015/09/05,2015/09/05
HAR0943,15,2015/08/25,2015/08/25
HAR2164,5,2015/09/03,2015/09/03
HAR2302,49,2015/09/09,2015/09/09
HAR3390,1,2015/09/04,2015/09/04
HAR3851,12,2015/08/25,2015/08/25
HAR4964,1,2015/07/25,2015/07/25
HAR5217,25,2015/09/08,2015/09/08
