Class Code,SUM(Subscriber),MINIMUM(Joined Date)
ABD1142,1,2015/05/08
ABD6731,1,2015/09/13
ABD7297,1,2015/05/08
ABH1245,1,2015/06/18
ABH4304,1,2015/04/25
ABS4959,2,2015/09/12
ACB1781,3,2015/06/18
ACB7163,1,2015/06/30
ADA7168,2,2015/07/11
ADI0770,2,2015/06/13
ADI2898,2,2015/08/29
ADI4866,1,2015/04/24
ADI7369,1,2015/08/29
ADI9462,1,2015/08/27
AFR4973,2,2015/09/10
AGA8531,1,2015/06/21
AGN6331,1,2015/04/20
AJA1323,19,2015/08/02
AJA2383,2,2015/08/27
AJA4601,1,2015/07/22
AJA5157,25,2015/08/12
AJA5366,24,2015/08/13
AJA5800,18,2015/08/07
AKH6149,2,2015/07/04
AKJ0141,185,2015/06/12
AKJ0251,182,2015/06/25
AKJ1330,129,2015/04/18
AKJ1491,143,2015/06/25
AKJ1495,120,2015/06/12
AKJ2297,190,2015/06/25
AKJ2517,165,2015/06/25
AKJ2647,159,2015/06/25
AKJ4097,93,2015/04/09
AKJ4456,143,2015/06/25
AKJ4722,198,2015/06/25
AKJ4820,146,2015/06/27
AKJ6933,127,2015/04/07
AKJ8075,113,2015/04/09
AKJ8516,153,2015/06/27
AKJ8677,102,2015/04/09
AKJ8897,114,2015/04/09
AKJ9071,136,2015/04/07
AKJ9214,127,2015/06/25
AKJ9687,123,2015/04/07
AKJ9754,141,2015/04/07
ALB9525,16,2015/08/31
ALO0114,1,2015/04/27
AMA2780,1,2015/09/08
AMI1946,15,2015/09/01
AMI4521,1,2015/03/23
AMI5859,2,2015/09/12
AMI7236,7,2015/09/01
ANA4802,1,2015/04/19
ANA8406,1,2015/06/15
ANG1691,1,2015/07/07
ANG7025,30,2015/08/22
ANI7255,1,2015/05/13
ANI9732,1,2015/09/01
ANK0070,1,2015/08/31
ANK0861,1,2015/06/17
ANK2182,4,2015/08/31
ANK3143,1,2015/08/01
ANK7042,12,2015/09/01
ANK8389,1,2015/06/17
ANK9325,1,2015/06/13
ANN8567,6,2015/09/11
ANS0131,28,2015/08/30
ANS9226,23,2015/08/19
ANU5555,1,2015/08/13
ANZ0948,1,2015/04/26
APA9168,1,2015/08/31
APP9369,2,2015/07/10
ARJ8401,2,2015/09/04
ARM0076,23,2015/08/25
ARU0279,24,2015/06/19
ARU0308,11,2015/07/31
ARU2129,9,2015/07/31
ARU2489,1,2015/08/06
ARU2843,1,2015/05/01
ARU4604,3,2015/08/04
ARU6930,11,2015/08/02
ARU9767,13,2015/07/31
ASH0139,1,2015/08/06
ASH1575,2,2015/08/17
ASH3976,3,2015/06/20
ASH4723,1,2015/09/01
ASH9469,2,2015/08/06
ASH9471,3,2015/06/20
ASM1781,29,2015/07/31
ASO8303,37,2015/09/02
ASO9428,1,2015/09/05
